req_id,requirement,type,design_id,module,test_ids,status
DOM-001,"Classification shall use the **Library of Congress Classification** scheme, not Dewey. HOL uses LCC.",domain,DES-005,,,specified
DOM-002,A call number is shared by all copies of a title; an **accession number is unique to one physical copy**. Three copies of a title share a class number and hold three different accession numbers.,domain,DES-005,,,specified
DOM-003,"Shelf location shall be derived from the call number's LCC letter: classes **A–J are in the South wing**, classes **K–Z are in the North wing**.",domain,DES-005,,,specified
DOM-004,"Not every item circulates. Reference, serials, on-display and restricted collections shall not be borrowable.",domain,DES-005,,,specified
DOM-005,Borrowing privileges shall vary by member category. HOL grants postgraduates and senior staff access that undergraduates do not have.,domain,DES-005,,,specified
DOM-006,Membership shall originate in person. Users present a university identity card and library card and sign a register. The system shall not offer public self-registration.,domain,DES-005,,,specified
DOM-007,"The catalogue shall provide **at least three access points — author, title and subject** — mirroring the card catalogue and HOL's OPAC, which searches ""author, title and subject entries, keywords in titles"".",domain,DES-005,,,specified
DOM-008,"Borrowing history shall be preserved after return. A returned loan is closed, never deleted.",domain,DES-005,,,specified
DOM-009,Member identity and borrowing history are personal data under Nigerian data protection law. A borrowing history is a reading-habits profile and shall be treated as sensitive.,domain,DES-005,,,specified
REQ-001,"A member shall log in with their matriculation/staff ID or university email, plus a password.",functional,DES-001,internal/service/auth_service.go,,implemented
REQ-002,The system shall not provide public self-registration. Accounts are created by staff only. (DOM-006),functional,DES-001,router.go (no register route),,implemented
REQ-003,A user shall change their own password by supplying the current password.,functional,DES-001,internal/service/auth_service.go,,implemented
REQ-004,"A user shall request a password reset, delivered as a link to their registered email.",functional,DES-001,internal/service/auth_service.go,,implemented
REQ-005,A password reset token shall be single-use and expire within 30 minutes.,functional,DES-001,internal/repository/postgres/token_repo.go,,implemented
REQ-006,"A user shall log out, invalidating their refresh token.",functional,DES-001,internal/service/auth_service.go,,implemented
REQ-007,A user created by staff shall be required to change their password at first login.,functional,DES-001,internal/transport/http/middleware/middleware.go,,implemented
REQ-008,"The system shall assign every account exactly one role: `member`, `librarian` or `admin`.",functional,DES-001,internal/domain/domain.go,,implemented
REQ-009,"A librarian shall create a member record with name, ID, email and category.",functional,DES-001,internal/service/member_service.go,,implemented
REQ-010,A librarian shall bulk-import members from a CSV file.,functional,DES-001,internal/service/member_service.go,,implemented
REQ-011,The CSV import shall report per-row success and failure without aborting the whole batch.,functional,DES-001,internal/service/member_service.go,,implemented
REQ-012,A librarian shall search and list members.,functional,DES-001,,,specified
REQ-013,A librarian shall view a member's profile including current loans and full history.,functional,DES-001,,,specified
REQ-014,A librarian shall update a member record.,functional,DES-001,,,specified
REQ-015,A librarian shall suspend or reactivate a member. A suspended member cannot borrow.,functional,DES-001,,,specified
REQ-016,"A librarian shall create a book record: title, author(s), ISBN, publisher, place and year of publication, LCC call number, subject headings, description.",functional,DES-005,,,specified
REQ-017,A librarian shall import bibliographic data from an external book API by ISBN to pre-fill a new record. (DEC-007),functional,DES-005,,,specified
REQ-018,Imported data shall be editable before saving; the librarian's entry is authoritative.,functional,DES-005,,,specified
REQ-019,A librarian shall update a book record.,functional,DES-005,,,specified
REQ-020,A librarian shall archive a book. Archived books leave search results but their loan history is preserved. (DOM-008),functional,DES-005,,,specified
